n,pos,pos_rate,tp,fp,fn,tn,precision,recall,f1,ap,brier,pred_pos,pred_rate,slice_var,slice_value,delta_f1_global,fp_rate_among_neg,fn_rate_among_pos
461,151,0.3275488069414317,100,63,51,247,0.6134969325153374,0.6622516556291391,0.6369426751592356,0.7564414522325842,0.1524335426495911,163,0.3535791757049891,month,8,0.0621031372901726,0.2032258064516129,0.3377483443708609
464,102,0.2198275862068965,70,70,32,292,0.5,0.6862745098039216,0.5785123966942148,0.724375041496836,0.1121091643841189,140,0.3017241379310345,month,9,0.0036728588251518,0.1933701657458563,0.3137254901960784
695,186,0.2676258992805755,132,121,54,388,0.5217391304347826,0.7096774193548387,0.6013667425968109,0.732099473128124,0.1318414324814281,253,0.3640287769784173,month,10,0.0265272047277479,0.2377210216110019,0.2903225806451613
908,277,0.3050660792951541,220,259,57,372,0.4592901878914405,0.7942238267148014,0.582010582010582,0.7525304895104801,0.1409661820123699,479,0.5275330396475771,month,11,0.007171044141519,0.410459587955626,0.2057761732851985
829,249,0.3003618817852834,206,277,43,303,0.4265010351966873,0.8273092369477911,0.5628415300546448,0.7162628767805582,0.1492021711484058,483,0.5826296743063932,month,12,-0.0119980078144181,0.4775862068965517,0.1726907630522088
163,43,0.263803680981595,43,98,0,22,0.3049645390070922,1.0,0.4673913043478261,0.6844462409891553,0.1767315177271644,141,0.8650306748466258,week_of_year,1,-0.1074482335212368,0.8166666666666667,0.0
239,73,0.3054393305439331,73,136,0,30,0.3492822966507177,1.0,0.5177304964539007,0.570618272128943,0.2097037033867509,209,0.8744769874476988,week_of_year,2,-0.0571090414151622,0.8192771084337349,0.0
230,69,0.3,69,139,0,22,0.3317307692307692,1.0,0.4981949458483754,0.6187058161256435,0.2021374696102282,208,0.9043478260869564,week_of_year,3,-0.0766445920206875,0.8633540372670807,0.0
203,64,0.3152709359605911,64,115,0,24,0.3575418994413408,1.0,0.5267489711934157,0.6259305348873931,0.1914359817494795,179,0.8817733990147784,week_of_year,4,-0.0480905666756472,0.8273381294964028,0.0
248,82,0.3306451612903225,82,142,0,24,0.3660714285714285,1.0,0.5359477124183006,0.5777870814687639,0.220540986160707,224,0.9032258064516128,week_of_year,5,-0.0388918254507623,0.8554216867469879,0.0
227,67,0.2951541850220264,67,141,0,19,0.3221153846153846,1.0,0.4872727272727272,0.5684437997170465,0.2131984813587244,208,0.9162995594713657,week_of_year,6,-0.0875668105963357,0.88125,0.0
222,64,0.2882882882882883,64,132,0,26,0.3265306122448979,1.0,0.4923076923076923,0.6891651380898217,0.2160397466089819,196,0.8828828828828829,week_of_year,7,-0.0825318455613706,0.8354430379746836,0.0
211,85,0.4028436018957346,85,113,0,13,0.4292929292929293,1.0,0.6007067137809188,0.6980119223675216,0.2106792232433466,198,0.9383886255924172,week_of_year,8,0.0258671759118558,0.8968253968253969,0.0
224,83,0.3705357142857143,83,119,0,22,0.4108910891089108,1.0,0.5824561403508772,0.7218770783786013,0.1906695400172023,202,0.9017857142857144,week_of_year,9,0.0076166024818142,0.8439716312056738,0.0
220,74,0.3363636363636363,74,125,0,21,0.371859296482412,1.0,0.5421245421245421,0.7196929014228537,0.1936968981576705,199,0.9045454545454544,week_of_year,10,-0.0327149957445208,0.8561643835616438,0.0
227,95,0.4185022026431718,95,109,0,23,0.4656862745098039,1.0,0.6354515050167224,0.6704730056071383,0.2158041786316399,204,0.8986784140969163,week_of_year,11,0.0606119671476594,0.8257575757575758,0.0
217,65,0.2995391705069124,65,120,0,32,0.3513513513513513,1.0,0.52,0.5818543836913599,0.2034708861050323,185,0.8525345622119815,week_of_year,12,-0.0548395378690629,0.7894736842105263,0.0
234,84,0.358974358974359,84,131,0,19,0.3906976744186046,1.0,0.5618729096989966,0.7025797659202154,0.1891068661504656,215,0.9188034188034188,week_of_year,13,-0.0129666281700663,0.8733333333333333,0.0
222,73,0.3288288288288288,73,108,0,41,0.4033149171270718,1.0,0.5748031496062992,0.6591954159826547,0.1741617097592135,181,0.8153153153153153,week_of_year,14,-3.638826276375351e-05,0.7248322147651006,0.0
201,81,0.4029850746268656,81,82,0,38,0.4969325153374233,1.0,0.6639344262295082,0.706695347702583,0.1812853962468034,163,0.8109452736318408,week_of_year,15,0.0890948883604452,0.6833333333333333,0.0
237,87,0.3670886075949367,87,96,0,54,0.4754098360655737,1.0,0.6444444444444445,0.7680621246567871,0.1627348739783363,183,0.7721518987341772,week_of_year,16,0.0696049065753815,0.64,0.0
168,52,0.3095238095238095,52,84,0,32,0.3823529411764705,1.0,0.5531914893617021,0.7226205021738541,0.160615139447793,136,0.8095238095238095,week_of_year,17,-0.0216480485073607,0.7241379310344828,0.0
89,29,0.3258426966292135,29,31,0,29,0.4833333333333333,1.0,0.651685393258427,0.7968490462831752,0.1413256988572962,60,0.6741573033707865,week_of_year,18,0.076845855389364,0.5166666666666667,0.0
