alarm_record_id,data_source,snapshot_time,severity,alarm_source_id,alarm_source_type,alarm_name,first_occurred_at,last_occurred_at,alarm_age_hours,occurrence_times,down_reason,port_oper_status,port_admin_status,clearance_status,acknowledgment_status,maintenance_status,candidate_risk_score,reason_group_candidate
alarm_00085,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 02:22:20,2017-12-15 02:22:20,73503.58,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00086,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 02:22:21,2017-12-15 02:22:21,73503.58,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00087,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 02:22:22,2017-12-15 02:22:22,73503.58,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00088,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 02:22:23,2017-12-15 02:22:23,73503.58,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00089,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 02:22:24,2017-12-15 02:22:24,73503.58,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00090,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 02:22:25,2017-12-15 02:22:25,73503.58,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00091,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 02:22:26,2017-12-15 02:22:26,73503.58,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00092,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_5235efd7d0,CA,Physical Port Down,2017-12-15 04:27:09,2017-12-15 04:27:09,73501.5,1,"PCS_UNLOCK,NEGOTIATION_FAIL",DOWN,UP,-,-,NORMAL,0.88,link_down
alarm_00093,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-19 00:06:40,2017-12-19 00:06:40,73409.84,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00094,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-19 00:06:40,2017-12-19 00:06:40,73409.84,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00095,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-19 00:06:40,2017-12-19 00:06:40,73409.84,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00096,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-19 00:06:40,2017-12-19 00:06:40,73409.84,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00097,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-19 00:06:40,2017-12-19 00:06:40,73409.84,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00098,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-19 00:06:40,2017-12-19 00:06:40,73409.84,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00099,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-19 00:06:40,2017-12-19 00:06:40,73409.84,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00100,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-19 00:06:40,2017-12-19 00:06:40,73409.84,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00101,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-19 00:06:40,2017-12-19 00:06:40,73409.84,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00102,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-19 00:06:40,2017-12-19 00:06:40,73409.84,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
